"customerID","gender","contract","payment_method","monthly_charges","total_charges","tenure_months","churn_label","churn_value"
"3668-QPYBK","Male","Month-to-month","Mailed check","53.85","108.15","2","Yes","1"
"9237-HQITU","Female","Month-to-month","Electronic check","70.7","151.65","2","Yes","1"
"9305-CDSKC","Female","Month-to-month","Electronic check","99.65","820.5","8","Yes","1"
"7892-POOKP","Female","Month-to-month","Electronic check","104.8","3046.05","28","Yes","1"
"0280-XJGEX","Male","Month-to-month","Bank transfer (automatic)","103.7","5036.3","49","Yes","1"
"4190-MFLUW","Female","Month-to-month","Credit card (automatic)","55.2","528.35","10","Yes","1"
"8779-QRDMV","Male","Month-to-month","Electronic check","39.65","39.65","1","Yes","1"
"1066-JKSGK","Male","Month-to-month","Mailed check","20.15","20.15","1","Yes","1"
"6467-CHFZW","Male","Month-to-month","Electronic check","99.35","4749.15","47","Yes","1"
"8665-UTDHZ","Male","Month-to-month","Electronic check","30.2","30.2","1","Yes","1"
"8773-HHUOZ","Female","Month-to-month","Mailed check","64.7","1093.1","17","Yes","1"
"6047-YHPVI","Male","Month-to-month","Electronic check","69.7","316.9","5","Yes","1"
"5380-WJKOV","Male","Month-to-month","Electronic check","106.35","3549.25","34","Yes","1"
"8168-UQWWF","Female","Month-to-month","Bank transfer (automatic)","97.85","1105.4","11","Yes","1"
"7760-OYPDY","Female","Month-to-month","Electronic check","80.65","144.15","2","Yes","1"
"9420-LOJKX","Female","Month-to-month","Credit card (automatic)","99.1","1426.4","15","Yes","1"
"7495-OOKFY","Female","Month-to-month","Credit card (automatic)","80.65","633.3","8","Yes","1"
"1658-BYGOY","Male","Month-to-month","Electronic check","95.45","1752.55","18","Yes","1"
"5698-BQJOH","Female","Month-to-month","Electronic check","94.4","857.25","9","Yes","1"
"5919-TMRGD","Female","Month-to-month","Electronic check","79.35","79.35","1","Yes","1"
"9191-MYQKX","Female","Month-to-month","Bank transfer (automatic)","75.15","496.9","7","Yes","1"
"8637-XJIVR","Female","Month-to-month","Electronic check","78.95","927.35","12","Yes","1"
"0278-YXOOG","Male","Month-to-month","Mailed check","21.05","113.85","5","Yes","1"
"4598-XLKNJ","Female","Month-to-month","Electronic check","98.5","2514.5","25","Yes","1"
"3192-NQECA","Male","Two year","Bank transfer (automatic)","110","7611.85","68","Yes","1"
"0486-HECZI","Male","Month-to-month","Electronic check","96.75","5238.9","55","Yes","1"
"4846-WHAFZ","Female","Month-to-month","Electronic check","76.5","2868.15","37","Yes","1"
"5299-RULOA","Female","Month-to-month","Electronic check","100.25","1064.65","10","Yes","1"
"0404-SWRVG","Male","Month-to-month","Electronic check","74.4","229.55","3","Yes","1"
"4412-YLTKF","Female","Month-to-month","Electronic check","78.05","2135.5","27","Yes","1"
"6207-WIOLX","Female","Month-to-month","Credit card (automatic)","58.6","1502.65","25","Yes","1"
"3091-FYHKI","Male","Month-to-month","Electronic check","35.45","35.45","1","Yes","1"
"2372-HWUHI","Male","Month-to-month","Electronic check","44.35","81.25","2","Yes","1"
"0390-DCFDQ","Female","Month-to-month","Mailed check","70.45","70.45","1","Yes","1"
